datetime,payload_callsign,lat,lon,alt,ascent_rate,batt,ext_humidity,ext_pressure,ext_temperature,frame,sats,speed,temp,upload_time,uploader_alt,uploader_callsign,software_name,software_version,frequency,modulation,baud_rate,snr,rssi,uploader_position,uploader_antenna,uploader_radio,time_received,raw
2025-06-21T19:04:01.000000Z,APEX-2-T,42.16251754760742,-71.22998809814453,10895,0.0,1.3333333333333333,6,246.4,6.0,1346,15,196,6,2025-06-21T19:04:08.177991,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625899,Horus Binary v2,,-10.08,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T19:04:06.249568Z,5B0342051304016BA62842C1758EC28F2AC40F064400003C0006A00900000561
2025-06-21T19:04:21.000000Z,APEX-2-T,42.15291213989258,-71.22702026367188,10676,0.0,1.3333333333333333,6,254.5,5.7,1350,15,199,5,2025-06-21T19:04:28.328277,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625898,Horus Binary v2,,-7.45,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T19:04:26.312265Z,5B034605130415959C28423C748EC2B429C70F05440000390006F10900007ECB
2025-06-21T19:05:06.000000Z,APEX-2-T,42.13188171386719,-71.22117614746094,10209,0.0,1.3137254901960784,7,272.1,5.4,1359,15,185,5,2025-06-21T19:05:12.776834,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625877,Horus Binary v2,,-7.91,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T19:05:11.368791Z,5B034F051305060C8728423E718EC2E127B90F05430000360007A10A00008FE4
2025-06-21T19:04:51.000000Z,APEX-2-T,42.13890075683594,-71.2227554321289,10359,0.0,1.3333333333333333,7,266.5,5.5,1356,15,177,5,2025-06-21T19:04:56.485333,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625883,Horus Binary v2,,-8.35,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T19:04:56.349126Z,5B034C051304333C8E28420D728EC27728B10F05440000370007690A00003168
2025-06-21T19:05:21.000000Z,APEX-2-T,42.12482833862305,-71.21955108642578,10058,0.0,1.3137254901960784,7,278.3,5.5,1362,15,182,5,2025-06-21T19:05:26.907300,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625875,Horus Binary v2,,-5.47,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T19:05:26.386060Z,5B035205130515D37F284269708EC24A27B60F05430000370007DF0A0000700E
2025-06-21T19:05:01.000000Z,APEX-2-T,42.13417434692383,-71.22159576416016,10260,0.0,1.3333333333333333,7,270.3,5.5,1358,15,186,5,2025-06-21T19:05:06.631279,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625882,Horus Binary v2,,-7.91,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T19:05:06.420029Z,5B034E051305016589284275718EC21428BA0F054400003700078F0A00008265
2025-06-21T19:05:41.000000Z,APEX-2-T,42.115501403808594,-71.21783447265625,9860,0.0,1.3137254901960784,7,286.0,5.6,1366,15,196,5,2025-06-21T19:05:47.062668,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625867,Horus Binary v2,,-7.13,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T19:05:46.441557Z,5B03560513052946762842886F8EC28426C40F054300003800072C0B0000F1E1
2025-06-21T19:05:46.000000Z,APEX-2-T,42.113189697265625,-71.21734619140625,9810,0.0,1.3137254901960784,7,288.2,5.6,1367,15,179,5,2025-06-21T19:05:53.267412,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.62587,Horus Binary v2,,-7.2,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T19:05:51.463335Z,5B03570513052EE8732842486F8EC25226B30F05430000380007420B000063CA
2025-06-21T19:06:01.000000Z,APEX-2-T,42.10670852661133,-71.21612548828125,9671,0.0,1.3137254901960784,7,294.0,5.6,1370,15,165,5,2025-06-21T19:06:07.543549,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.62587,Horus Binary v2,,-7.19,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T19:06:05.983655Z,5B035A05130601456D2842A86E8EC2C725A50F054300003800077C0B000017C8
2025-06-21T19:06:06.000000Z,APEX-2-T,42.1046142578125,-71.21585845947266,9625,0.0,1.3333333333333333,7,296.0,5.7,1371,16,173,5,2025-06-21T19:06:11.690971,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625874,Horus Binary v2,,-5.25,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T19:06:11.017708Z,5B035B05130606206B2842856E8EC29925AD1005440000390007900B0000CAE6
2025-06-21T19:06:16.000000Z,APEX-2-T,42.10036849975586,-71.21519470214844,9532,0.0,1.3137254901960784,7,299.8,5.7,1373,16,165,5,2025-06-21T19:06:21.856050,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.62587,Horus Binary v2,,-3.94,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T19:06:21.003692Z,5B035D05130610C76628422E6E8EC23C25A51005430000390007B60B000016A9
2025-06-21T19:05:51.000000Z,APEX-2-T,42.11090850830078,-71.21694946289062,9761,0.0,1.3137254901960784,7,290.2,5.6,1368,15,186,5,2025-06-21T19:05:57.388218,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625863,Horus Binary v2,,-7.13,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T19:05:56.510710Z,5B03580513053392712842146F8EC22126BA0F05430000380007560B00006136
2025-06-21T19:06:21.000000Z,APEX-2-T,42.098289489746094,-71.2147445678711,9486,0.0,1.3137254901960784,7,301.7,5.7,1374,16,164,5,2025-06-21T19:06:27.979661,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625867,Horus Binary v2,,-3.94,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T19:06:26.038108Z,5B035E05130615A6642842F36D8EC20E25A41005430000390007C90B00003918
2025-06-21T19:06:51.000000Z,APEX-2-T,42.0872802734375,-71.21204376220703,9216,0.0,1.3137254901960784,7,313.8,6.0,1380,16,146,6,2025-06-21T19:06:56.556167,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625864,Horus Binary v2,,-10.44,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T19:06:56.158540Z,5B03640513063360592842916C8EC200249210064300003C0007420C00004B37
2025-06-21T19:06:31.000000Z,APEX-2-T,42.0944709777832,-71.21398162841797,9394,0.0,1.3137254901960784,7,305.8,5.8,1376,16,148,5,2025-06-21T19:06:36.268879,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.62586,Horus Binary v2,,-7.2,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T19:06:36.105556Z,5B03600513061FBD6028428F6D8EC2B2249410054300003A0007F20B0000E872
2025-06-21T19:06:26.000000Z,APEX-2-T,42.096378326416016,-71.21439361572266,9441,0.0,1.3137254901960784,7,303.9,5.7,1375,16,151,5,2025-06-21T19:06:32.106121,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625877,Horus Binary v2,,-7.54,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T19:06:31.068613Z,5B035F0513061AB1622842C56D8EC2E124971005430000390007DF0B000016CD
2025-06-21T19:06:36.000000Z,APEX-2-T,42.092586517333984,-71.21358489990234,9349,0.0,1.3333333333333333,7,307.8,5.8,1377,16,147,5,2025-06-21T19:06:42.406646,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625864,Horus Binary v2,,-9.13,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T19:06:41.054079Z,5B036105130624CF5E28425B6D8EC285249310054400003A0007060C0000704F
2025-06-21T19:07:51.000000Z,APEX-2-T,42.06881332397461,-71.205322265625,8670,0.0,1.2941176470588236,6,338.7,6.3,1392,16,111,6,2025-06-21T19:07:57.647967,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.62587,Horus Binary v2,,-10.87,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T19:07:56.316022Z,5B0370051307337746284220698EC2DE216F10064200003F00063B0D0000473F
2025-06-21T19:07:56.000000Z,APEX-2-T,42.06753158569336,-71.20503234863281,8627,0.0,1.3137254901960784,6,340.7,6.3,1393,16,103,6,2025-06-21T19:08:01.769282,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625864,Horus Binary v2,,-7.91,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T19:08:01.354149Z,5B03710513073827452842FA688EC2B3216710064300003F00064F0D0000544B
2025-06-21T19:07:16.000000Z,APEX-2-T,42.0789680480957,-71.20854187011719,8985,0.0,1.3137254901960784,6,324.0,6.1,1385,16,142,6,2025-06-21T19:07:23.148834,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625854,Horus Binary v2,,-6.45,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T19:07:21.158270Z,5B036905130710DD502842C66A8EC219238E10064300003D0006A80C000081BA
2025-06-21T19:07:01.000000Z,APEX-2-T,42.08385467529297,-71.21062469482422,9125,0.0,1.3137254901960784,7,317.9,6.0,1382,16,144,6,2025-06-21T19:07:06.843922,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625853,Horus Binary v2,,-11.65,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T19:07:06.136075Z,5B036605130701DE552842D76B8EC2A5239010064300003C00076B0C0000FDEE
2025-06-21T19:06:56.000000Z,APEX-2-T,42.085575103759766,-71.21135711669922,9171,0.0,1.3137254901960784,6,315.8,6.0,1381,16,134,6,2025-06-21T19:07:02.710820,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625851,Horus Binary v2,,-6.52,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T19:07:01.193316Z,5B036505130638A1572842376C8EC2D3238610064300003C0006560C00002C2A
2025-06-21T19:07:41.000000Z,APEX-2-T,42.07149124145508,-71.20596313476562,8762,0.0,1.3137254901960784,6,334.4,6.3,1390,16,108,6,2025-06-21T19:07:47.404390,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625867,Horus Binary v2,,-10.41,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T19:07:46.247635Z,5B036E051307293549284274698EC23A226C10064300003F0006100D00000DBE
2025-06-21T19:07:46.000000Z,APEX-2-T,42.07012176513672,-71.20563507080078,8715,0.0,1.3137254901960784,6,336.6,6.3,1391,16,112,6,2025-06-21T19:07:51.533293,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625863,Horus Binary v2,,-4.98,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T19:07:51.280891Z,5B036F0513072ECE47284249698EC20B227010064300003F0006260D0000BFB0
2025-06-21T19:07:26.000000Z,APEX-2-T,42.07585525512695,-71.20733642578125,8897,0.0,1.3333333333333333,6,328.0,6.2,1387,16,123,6,2025-06-21T19:07:33.271118,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625855,Horus Binary v2,,-8.21,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T19:07:31.224525Z,5B036B0513071AAD4D2842286A8EC2C1227B10064400003E0006D00C00008831
2025-06-21T19:08:01.000000Z,APEX-2-T,42.0662727355957,-71.20491790771484,8582,0.0,1.3137254901960784,6,342.6,6.3,1394,16,104,6,2025-06-21T19:08:07.893822,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625872,Horus Binary v2,,-5.03,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T19:08:06.374911Z,5B037205130801DD432842EB688EC286216810064300003F0006620D0000EFD7
2025-06-21T19:08:56.000000Z,APEX-2-T,42.05353546142578,-71.20133972167969,8110,0.0,1.3137254901960784,6,366.3,6.6,1405,16,97,6,2025-06-21T19:09:02.199149,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625854,Horus Binary v2,,-9.68,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T19:09:01.514203Z,5B037D05130838D236284216678EC2AE1F6110064300004200064F0E00003FCA
2025-06-21T19:08:26.000000Z,APEX-2-T,42.06029510498047,-71.20402526855469,8368,0.0,1.2941176470588236,6,353.3,6.4,1399,16,88,6,2025-06-21T19:08:32.049264,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.62585,Horus Binary v2,,-8.51,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T19:08:31.389941Z,5B03770513081ABE3D284276688EC2B020581006420000400006CD0D00003940
2025-06-21T19:10:26.000000Z,APEX-2-T,42.032371520996094,-71.19023895263672,7330,0.0,1.3137254901960784,6,408.1,7.0,1423,17,93,7,2025-06-21T19:10:32.571016,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625845,Horus Binary v2,,-2.14,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T19:10:31.110883Z,5B038F05130A1A2621284267618EC2A21C5D1107430000460006F10F0000648E
2025-06-21T19:10:56.000000Z,APEX-2-T,42.02620315551758,-71.18624114990234,7071,0.0,1.3333333333333333,6,422.9,7.2,1429,17,86,7,2025-06-21T19:11:03.223404,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625844,Horus Binary v2,,-7.05,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T19:11:01.232187Z,5B039505130A38D51A28425B5F8EC29F1B561107440000480006851000002424
2025-06-21T19:10:21.000000Z,APEX-2-T,42.033504486083984,-71.19100189208984,7373,0.0,1.3137254901960784,6,405.7,6.9,1422,17,106,6,2025-06-21T19:10:26.462623,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625842,Horus Binary v2,,-2.14,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T19:10:26.079836Z,5B038E05130A154F222842CB618EC2CD1C6A1106430000450006D90F0000A36C
2025-06-21T19:10:31.000000Z,APEX-2-T,42.031219482421875,-71.18955993652344,7286,0.0,1.2941176470588236,6,410.6,7.0,1424,17,101,7,2025-06-21T19:10:36.694592,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625851,Horus Binary v2,,-5.36,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T19:10:36.144729Z,5B039005130A1FF81F28420E618EC2761C6511074200004600060A100000ADF3
2025-06-21T19:10:41.000000Z,APEX-2-T,42.02912521362305,-71.18827056884766,7201,0.0,1.3137254901960784,6,415.4,7.1,1426,17,91,7,2025-06-21T19:10:46.823431,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625845,Horus Binary v2,,-1.08,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T19:10:46.121228Z,5B039205130A29D31D284265608EC2211C5B11074300004700063A100000F52F
2025-06-21T19:10:51.000000Z,APEX-2-T,42.02714538574219,-71.18698120117188,7114,0.0,1.3137254901960784,6,420.4,7.1,1428,17,89,7,2025-06-21T19:10:57.074221,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625831,Horus Binary v2,,-7.81,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T19:10:56.204418Z,5B039405130A33CC1B2842BC5F8EC2CA1B5911074300004700066C1000001BA9
2025-06-21T19:10:46.000000Z,APEX-2-T,42.028114318847656,-71.18761444091797,7157,0.0,1.3137254901960784,6,417.9,7.1,1427,17,92,7,2025-06-21T19:10:52.948378,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625845,Horus Binary v2,,-9.08,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T19:10:51.167636Z,5B039305130A2ECA1C28420F608EC2F51B5C1107430000470006531000009188
2025-06-21T19:11:11.000000Z,APEX-2-T,42.02342224121094,-71.18416595458984,6939,0.0,1.3137254901960784,6,430.2,7.2,1432,17,92,7,2025-06-21T19:11:17.457797,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625842,Horus Binary v2,,-2.54,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T19:11:16.258819Z,5B039805130B0BFC1728424B5E8EC21B1B5C1107430000480006CE100000EA11
2025-06-21T19:11:16.000000Z,APEX-2-T,42.0225715637207,-71.18342590332031,6894,0.0,1.3137254901960784,6,432.9,7.3,1433,17,73,7,2025-06-21T19:11:21.597698,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625841,Horus Binary v2,,-5.79,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T19:11:21.286805Z,5B039905130B101D172842EA5D8EC2EE1A491107430000490006E91000007394
2025-06-21T19:11:26.000000Z,APEX-2-T,42.020751953125,-71.18196105957031,6806,0.0,1.3137254901960784,6,437.9,7.3,1435,17,83,7,2025-06-21T19:11:31.860915,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625836,Horus Binary v2,,-3.15,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T19:11:31.274692Z,5B039B05130B1A401528422A5D8EC2961A5311074300004900061B1100001597
2025-06-21T19:11:31.000000Z,APEX-2-T,42.01992416381836,-71.18126678466797,6764,0.0,1.3333333333333333,6,440.4,7.4,1436,17,77,7,2025-06-21T19:11:37.995930,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625838,Horus Binary v2,,-4.75,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T19:11:36.309002Z,5B039C05130B1F67142842CF5C8EC26C1A4D11074400004A000634110000A082
2025-06-21T19:11:21.000000Z,APEX-2-T,42.02162170410156,-71.18276977539062,6850,0.0,1.3137254901960784,6,435.4,7.3,1434,17,91,7,2025-06-21T19:11:27.697679,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625836,Horus Binary v2,,-7.1,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T19:11:26.321677Z,5B039A05130B1524162842945D8EC2C21A5B1107430000490006021100004BA7
2025-06-21T19:11:01.000000Z,APEX-2-T,42.02526092529297,-71.18557739257812,7026,0.0,1.3137254901960784,6,425.4,7.2,1430,17,90,7,2025-06-21T19:11:07.354733,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625842,Horus Binary v2,,1.3,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T19:11:06.269569Z,5B039605130B01DE192842045F8EC2721B5A11074300004800069E10000014EF
2025-06-21T19:12:01.000000Z,APEX-2-T,42.01508712768555,-71.17662048339844,6505,0.0,1.3333333333333333,7,456.3,7.7,1442,17,74,7,2025-06-21T19:12:08.391398,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625829,Horus Binary v2,,-7.46,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T19:12:06.428038Z,5B03A205130C01730F28426E5A8EC269194A11074400004D0007D31100005B9D
